InvoiceDate,Revenue
2009-12-01,825685.76
2010-01-01,652708.502
2010-02-01,553339.736
2010-03-01,833570.131
2010-04-01,681528.992
2010-05-01,659858.86
2010-06-01,752270.14
2010-07-01,650712.94
2010-08-01,697274.91
2010-09-01,924333.0109999999
2010-10-01,1165483.91
2010-11-01,1470272.482
2010-12-01,1262598.79
2011-01-01,691364.56
2011-02-01,523631.89
2011-03-01,717639.36
2011-04-01,537808.621
2011-05-01,770536.02
2011-06-01,761739.9
2011-07-01,719221.191
2011-08-01,759138.38
2011-09-01,1058590.172
2011-10-01,1154979.3
2011-11-01,1509496.33
2011-12-01,638810.68
